Question_No,Section,Question_Text,Answer_Type,Options,Is_Scored,Weight,Prefill_Source_Key
1,General Information,Name of the health facility:,text,,No,1.0,facilityName
2,General Information,State:,text,,No,1.0,provinceName
3,General Information,County:,text,,No,1.0,districtName
4,General Information,Payam:,text,,No,1.0,
5,General Information,Boma:,text,,No,1.0,
6,General Information,Health Facility Ownership:,select,Government | INGO | FBO | CBO/NNGO | Others (Specify),No,1.0,
7,General Information,[1.4.(a)] Is the health facility supported by NGO?,yes_no,Yes | No,No,1.0,
8,General Information,"[1.4.(b)] If Yes, which NGO/s supports the health facility? (Give all supporting NGO/s)",text,,No,1.0,
9,General Information,Date of Visit:,date,,No,1.0,
10,General Information,Date of previous supervision:,date,,No,1.0,
11,General Information,Name and title of the contacted person or supervisee (Supervisee 1 - Name / Title):,text,,No,1.0,
12,General Information,Name and title of the contacted person or supervisee (Supervisee 2 - Name / Title):,text,,No,1.0,
13,General Information,Name and title of the contacted person or supervisee (Supervisee 3 - Name / Title):,text,,No,1.0,
14,General Information,[1.7.(a)] Total catchment area population:,number,,No,1.0,
15,General Information,[1.7.(b)] Estimated target population for the year - Estimated births:,number,,No,1.0,
16,General Information,[1.7.(b)] Estimated target population for the year - Estimated pregnant women (PW):,number,,No,1.0,
17,General Information,Are there unreached populations?,yes_no,Yes | No,No,1.0,
18,General Information,[1.9.(a)] How many villages are there in the health facility catchment area?,number,,No,1.0,
19,General Information,[1.9.(b)] How many villages are unreached?,number,,No,1.0,
20,General Information,[10.] When was the last time staff in this health facility attended EPI training?,date,,No,1.0,
21,General Information,"[11.] Are there any RSS/MOH EPI reference materials in the facility? If yes, specify:",yes_no,Yes | No,Yes,1.0,
22,General Information,"[11.] If Yes, specify which RSS/MOH EPI reference materials are in the facility:",text,,No,1.0,
23,II. EPI Plan,[2.1.] Is there an existing EPI micro plan?,yes_no,Yes | No,Yes,1.0,
24,II. EPI Plan,[2.2.] Is the microplan updated quarterly?,yes_no,Yes | No,Yes,1.0,
25,II. EPI Plan,[2.3.] Is social mobilization and communication included in the EPI microplan?,yes_no,Yes | No,Yes,1.0,
26,II. EPI Plan,"[2.4.] Is there annual and quarterly vaccine, AD syringe, mixing syringe and safety box forecast for the health facility?",yes_no,Yes | No,Yes,1.0,
27,II. EPI Plan,[2.5.] Number of monthly EPI sessions planned - Static:,number,,No,1.0,
28,II. EPI Plan,[2.5.] Number of monthly EPI sessions planned - Outreach:,number,,No,1.0,
29,II. EPI Plan,[2.5.] Number of monthly EPI sessions planned - Mobile:,number,,No,1.0,
30,II. EPI Plan,[2.6.] Number of monthly EPI sessions implemented - Static:,number,,No,1.0,
31,II. EPI Plan,[2.6.] Number of monthly EPI sessions implemented - Outreach:,number,,No,1.0,
32,II. EPI Plan,[2.6.] Number of monthly EPI sessions implemented - Mobile:,number,,No,1.0,
33,III. EPI Routine Immunization Session Observations,"[3.1.] Are the vaccine and diluents brought to the session in a small plastic bag, under a foam pad, in a vaccine carrier with four conditioned ice packs?",yes_no,Yes | No,Yes,1.0,
34,III. EPI Routine Immunization Session Observations,[3.2.] Are all vaccines and diluents available during the session?,yes_no,Yes | No,Yes,1.0,
35,III. EPI Routine Immunization Session Observations,[3.3.] Are the diluents of BCG and Measles the ones provided by the manufacturer for that same vaccine?,yes_no,Yes | No,Yes,1.0,
36,III. EPI Routine Immunization Session Observations,[3.4.] Are there sufficient syringes/needles for reconstituting and administering the vaccines?,yes_no,Yes | No,Yes,1.0,
37,III. EPI Routine Immunization Session Observations,[3.5.] Does the vaccinator verify the infant's age and review records for vaccination?,yes_no,Yes | No,Yes,1.0,
38,III. EPI Routine Immunization Session Observations,"[3.6.] Are all the vaccines given in the correct sites, using the correct doses, and the correct route of administration?",yes_no,Yes | No,Yes,1.0,
39,III. EPI Routine Immunization Session Observations,[3.7.] Are used needles and syringes immediately placed in a safety box following administration of the vaccine?,yes_no,Yes | No,Yes,1.0,
40,III. EPI Routine Immunization Session Observations,[3.8.] Does the vaccinator deliver all the five (5) key messages of immunization to parents/care-givers?,yes_no,Yes | No,Yes,1.0,
41,III. EPI Routine Immunization Session Observations,[3.9.] Is the vaccinator asking care-givers to wait for 30 minutes after vaccination?,yes_no,Yes | No,Yes,1.0,
42,III. EPI Routine Immunization Session Observations,[3.10.] Comments / Observations on EPI Routine Immunization Session:,text,,No,1.0,
43,IV. EPI Monitoring and Supervision,[4.1.] What is the percentage of infants immunized against the total catchment area (% coverage) last month? - Penta 1 coverage (%):,number,,No,1.0,
44,IV. EPI Monitoring and Supervision,[4.1.] What is the percentage of infants immunized against the total catchment area (% coverage) last month? - Penta 3 coverage (%):,number,,No,1.0,
45,IV. EPI Monitoring and Supervision,[4.1.] What is the percentage of infants immunized against the total catchment area (% coverage) last month? - MCV coverage (%):,number,,No,1.0,
46,IV. EPI Monitoring and Supervision,[4.1.] What is the percentage of pregnant women immunized against the total catchment area (% coverage) last month? - Td2+ coverage (%):,number,,No,1.0,
47,IV. EPI Monitoring and Supervision,[4.2.] What is the current dropout rate for Penta 1 to Penta 3 (%)?,number,,No,1.0,
48,IV. EPI Monitoring and Supervision,[4.2.] What is the current dropout rate for Penta 1 to MCV (%)?,number,,No,1.0,
49,IV. EPI Monitoring and Supervision,Did any county EPI staff visit this health facility in the last quarter?,yes_no,Yes | No,Yes,1.0,
50,IV. EPI Monitoring and Supervision,[4.] Was there any support supervision feedback after the visit? (Observe for record of feedback),yes_no,Yes | No,Yes,1.0,
51,V. Waste Management and Injection Safety,"[5.1.] Are there sufficient amounts of AD syringes, reconstitution syringes, and safety boxes to use for the vaccine quantities in stock?",yes_no,Yes | No,Yes,1.0,
52,V. Waste Management and Injection Safety,[5.2.] Are safety boxes used for disposal of used needles and syringes?,yes_no,Yes | No,Yes,1.0,
53,V. Waste Management and Injection Safety,[5.3.] Do you use one mixing syringe for reconstituting one vial of vaccine?,yes_no,Yes | No,Yes,1.0,
54,V. Waste Management and Injection Safety,[5.4.] Are needles separated from the syringe after use?,yes_no,Yes | No,Yes,1.0,
55,V. Waste Management and Injection Safety,[5.5.] Is there a hand washing facility in the vaccination site?,yes_no,Yes | No,Yes,1.0,
56,V. Waste Management and Injection Safety,[5.6.] At the end of the EPI sessions does the vaccinator take care to leave the immunization site safe and clean?,yes_no,Yes | No,Yes,1.0,
57,V. Waste Management and Injection Safety,[5.7.] Has the facility reported/recorded any AEFI case in the last 3 months?,yes_no,Yes | No,No,1.0,
58,V. Waste Management and Injection Safety,[5.8.] Does the vaccinator know what can be done when there is an AEFI case?,yes_no,Yes | No,Yes,1.0,
59,VI. VPD Surveillance,[6.1.] Are there surveillance case definition charts/posters for priority diseases posted on the wall?,yes_no,Yes | No,Yes,1.0,
60,VI. VPD Surveillance,"[6.2.] Does the vaccinator/surveillance focal point/clinician know the case definitions for AFP, Measles and NNT?",yes_no,Yes | No,Yes,1.0,
61,VI. VPD Surveillance,[6.3.] Does the vaccinator/surveillance focal point/clinician update VPD cases in the EPI monitoring chart?,yes_no,Yes | No,Yes,1.0,
62,VI. VPD Surveillance,[7.4.] Are there VPD case-based investigation forms and surveillance guidelines at the health facility?,yes_no,Yes | No,Yes,1.0,
63,VI. VPD Surveillance,"[7.5.] If yes, specify the VPD case-based investigation forms and surveillance guidelines available:",text,,No,1.0,
64,VII. Community Mobilization / Community Involvement,[7.1.] Are there social mobilization activities being carried out for immunization in the catchment areas?,yes_no,Yes | No,Yes,1.0,
65,VII. Community Mobilization / Community Involvement,[7.2.] Is any mobilizer assigned to the facility?,yes_no,Yes | No,Yes,1.0,
66,VII. Community Mobilization / Community Involvement,[7.3.] Is there community involvement in outreach site selection?,yes_no,Yes | No,Yes,1.0,
67,VII. Community Mobilization / Community Involvement,[7.4.] Is there community involvement in scheduling outreach sessions?,yes_no,Yes | No,Yes,1.0,
68,VII. Community Mobilization / Community Involvement,[7.5.] Is there community involvement in mobilizing mothers?,yes_no,Yes | No,Yes,1.0,
69,VII. Community Mobilization / Community Involvement,"[7.6.] Does the Boma Health committee meet monthly? If yes, is EPI part of the agenda?",yes_no,Yes | No,Yes,1.0,
70,VII. Community Mobilization / Community Involvement,[7.7.] Do vaccinators conduct health education sessions before vaccination regularly? (Observe),yes_no,Yes | No,Yes,1.0,
71,VII. Community Mobilization / Community Involvement,[7.8.] Is there a defaulter tracing mechanism?,yes_no,Yes | No,Yes,1.0,
72,VII. Community Mobilization / Community Involvement,"[7.8.] If yes, specify the defaulter tracing mechanism:",text,,No,1.0,
