Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
BUKEDEA HEALTH CENTRE,11056452300,clinic,,,Bukedea,1.32936586,34.04269527,,,,,,
KIRINYA,11056451980,clinic,,,Jinja,0.41985779,33.22591326,,,,,,
HEALTH CENTRE II,11001694722,clinic,,,Kyotera,-0.54372605,31.66610268,,,,,,
ANAYVU,11066739666,hospital,,,Arua,2.67783756,30.86074679,,,,,,
PAANJARA H/C II,11054940369,hospital,,,Moyo,3.56685272,31.95046336,,,,,,
Drug Shop,6735301022,doctors,,operational,Rukungiri,-0.40773504,29.77529662,,,,,2,
Drug Shop,5789319881,doctors,,non operational,Obongi,3.43076079,31.57811944,,,,,0,
KAYONZA,11001694637,clinic,,,Rakai,-0.68714176,31.35841257,,,,,,
Green's Pharmacy,3393071090,pharmacy,,,Jinja,0.42471720,33.20739512,,,,,,
HEALTH CENTRE 111,11073166860,hospital,,,Nakasongola,1.45912543,32.42518057,,,,,,
ST MARTIN MABIRA,11029992872,hospital,,,Kyenjojo,0.79574449,30.74746110,,,,,,
KAABONG HOSPITAL,11080417499,hospital,,,Kaabong,3.51206693,34.13199230,,,,,,
Garia,5406574327,doctors,Individual based,operational,Madi Okollo,2.94190665,31.19527995,,,,,,
Sherry Pharmacy,3466160582,pharmacy,,,Wakiso,0.13840463,32.53866668,,,,,,
Rishan Pharmacy,3967544971,pharmacy,,,Kaliro,0.89532753,33.50598039,"Kisla Road, Kaliro",,,,,
Drug Shop,5215671203,pharmacy,Refugee,,Yumbe,3.46667825,31.36875827,,,,,,
Ngeribalya HC II,5606861,clinic,Ministry of Health,,Gomba,0.15023669,32.01779854,,,,,,
BUTALEJA HEALTH CENTRE III,9409475,clinic,,,Butaleja,0.91538182,33.95519910,,,,,,
Marry Drug Shop,6750035912,doctors,,operational,Kanungu,-0.91655805,29.59848968,,,,,1,
Seed Medical Center,8632128748,doctors,private,,Zombo,2.41973328,30.98670492,,,,,2,
Exodus Medical Clinic and Laboratory Services,10198909191,clinic,private,,Lira,2.26500000,32.90707329,Lira,,,,3,
Clinic,5338522790,doctors,No,operational,Arua,3.02930635,30.90305227,,,,,,
Herbal Research Clinic,4041947939,doctors,,,Jinja,0.64670025,33.17093744,"Kamuli Road, Buwenge Town Council",,,,,
Mascot Medical Clinic,4102726436,clinic,,,Kampala,0.27124446,32.60033494,"Boston Lane, Kampala",,,,,
Angela Medical Centre,610302663,doctor,,,Kampala,0.34238193,32.59501076,,,,,,
IMC Wandegeya Clinic,8963716810,clinic,private,,Kampala,0.33217956,32.57386204,,,,,6,
St. Jude Alelluia Clinic,10102878038,doctors,,,Omoro,2.76623797,32.24352772,,,,,,
NKONI,11001694779,clinic,,,Lwengo,-0.34355615,31.63778895,,,,,,
MUZADDE MARTENITY,11010338494,clinic,,,Mukono,0.50664745,32.75224177,,,,,,
SMC - Safe Male Circumscision,3994599525,clinic,,,Wakiso,0.20729155,32.53844305,,,,,,
Drug shop,5215672031,pharmacy,Refugee,,Yumbe,3.33616674,31.30335084,,,,,,
Ainamani vet clinic,5261975721,clinic,,,Rakai,-0.56380775,31.26347704,,,,,,
Joint Medical Centre,3996527072,clinic,,,Wakiso,0.20919784,32.53490203,,,,,,
HEALTH CENTRE 11,11073166852,hospital,,,Dokolo,2.05248983,32.91171854,,,,,,
Said M Dafalla Drug Shop,5573437716,pharmacy,Private,operational,Yumbe,3.42393163,31.15170998,,,,,1,
Bridge International Hospital,8457174017,hospital,,,Jinja,0.43984896,33.19116105,,,,,,
Rift Valley Medical Centre,5677238,clinic,,,Kampala,0.28549328,32.58158965,"Mobutu Road, Kampala",,,,,
HEALTH CENTRE 11,11001694556,clinic,,,Kyotera,-0.67303208,31.67967089,,,,,,
ASABA CO HERBAL CLINIC,11001478416,clinic,,,Kanungu,-0.80294244,29.80660948,,,,,,
